
Attaching 4 probes...





@z_data_map[11823742976, 2]: 16
@z_data_map[11639193600, 2]: 16
@z_data_map[11785994240, 2]: 16
@z_data_map[11735662592, 2]: 24
@z_data_map[11622416384, 2]: 32
@z_data_map[11790188544, 2]: 32
@z_data_map[11714691072, 2]: 32
@z_data_map[11693719552, 2]: 40
@z_data_map[11806965760, 2]: 40
@z_data_map[11769217024, 2]: 40
@z_data_map[11773411328, 2]: 40
@z_data_map[11676942336, 2]: 48
@z_data_map[11710496768, 2]: 48
@z_data_map[11660165120, 2]: 48
@z_data_map[11752439808, 2]: 48
@z_data_map[11697913856, 2]: 56
@z_data_map[12515803136, 2]: 56
@z_data_map[11731468288, 2]: 80
@z_data_map[11655970816, 2]: 80
@z_data_map[13417578496, 2]: 88
@z_data_map[0, 1]: 144
@z_data_map[562036736, 2]: 2240
@z_data_map[8388608, 2]: 2552
@z_data_map[11056185344, 2]: 5680
@z_data_map[3821010944, 2]: 8880
@z_data_map[10133438464, 2]: 12752
@z_data_map[2285895680, 2]: 17528
@z_data_map[7444889600, 2]: 18312
@z_data_map[5381292032, 2]: 19384
@z_data_map[8388608, 1]: 21752
@z_data_map[4559208448, 2]: 21808
@z_data_map[6824132608, 2]: 23224
@z_data_map[12876513280, 2]: 25384
@z_data_map[13350469632, 2]: 25664
@z_data_map[8627683328, 2]: 28248
@z_data_map[12914262016, 2]: 36216
@z_data_map[9995026432, 2]: 38936
@z_data_map[8136949760, 2]: 39072
@z_data_map[10984882176, 2]: 41592
@z_data_map[9223274496, 2]: 42352
@z_data_map[12821987328, 2]: 44080
@z_data_map[306184192, 2]: 44568
@z_data_map[11140071424, 2]: 46096
@z_data_map[2357198848, 2]: 46928
@z_data_map[9634316288, 2]: 47248
@z_data_map[541065216, 2]: 51712
@z_data_map[12901679104, 2]: 55192
@z_data_map[2243952640, 2]: 56136
@z_data_map[8556380160, 2]: 56528
@z_data_map[13061062656, 2]: 57000
@z_data_map[3892314112, 2]: 57792
@z_data_map[11349786624, 2]: 58288
@z_data_map[12272533504, 2]: 58560
@z_data_map[5595201536, 2]: 64160
@z_data_map[7268728832, 2]: 67840
@z_data_map[6257901568, 2]: 69352
@z_data_map[11974737920, 2]: 70840
@z_data_map[792723456, 2]: 71752
@z_data_map[12419334144, 2]: 74640
@z_data_map[2680160256, 2]: 74744
@z_data_map[1619001344, 2]: 76736
@z_data_map[10997465088, 2]: 77312
@z_data_map[13170114560, 2]: 78280
@z_data_map[6635388928, 2]: 83576
@z_data_map[10947133440, 2]: 84136
@z_data_map[490733568, 2]: 84864
@z_data_map[5838471168, 2]: 87864
@z_data_map[7151288320, 2]: 88672
@z_data_map[7256145920, 2]: 88752
@z_data_map[10095689728, 2]: 89552
@z_data_map[11756634112, 2]: 90152
@z_data_map[13421772800, 2]: 90472
@z_data_map[13128171520, 2]: 96968
@z_data_map[8921284608, 2]: 98576
@z_data_map[8459911168, 2]: 103376
@z_data_map[12314476544, 2]: 108008
@z_data_map[5553258496, 2]: 108208
@z_data_map[11672748032, 2]: 108816
@z_data_map[13438550016, 2]: 110200
@z_data_map[671088640, 2]: 112200
@z_data_map[10250878976, 2]: 112920
@z_data_map[1526726656, 2]: 115536
@z_data_map[2843738112, 2]: 117336
@z_data_map[13732151296, 2]: 121600
@z_data_map[11274289152, 2]: 121864
@z_data_map[10691280896, 2]: 123280
@z_data_map[11043602432, 2]: 124040
@z_data_map[8401190912, 2]: 124304
@z_data_map[3615490048, 2]: 125016
@z_data_map[4567597056, 2]: 126288
@z_data_map[1757413376, 2]: 126704
@z_data_map[5968494592, 2]: 126944
@z_data_map[7570718720, 2]: 128488
@z_data_map[13581156352, 2]: 132128
@z_data_map[2042626048, 2]: 132376
@z_data_map[2000683008, 2]: 136608
@z_data_map[7495221248, 2]: 141048
@z_data_map[1543503872, 2]: 142848
@z_data_map[9869197312, 2]: 143248
@z_data_map[742391808, 2]: 145240
@z_data_map[12444499968, 2]: 146840
@z_data_map[6249512960, 2]: 153760
@z_data_map[7289700352, 2]: 156360
@z_data_map[11446255616, 2]: 157672
@z_data_map[9512681472, 2]: 157976
@z_data_map[3405774848, 2]: 160688
@z_data_map[13493075968, 2]: 161648
@z_data_map[6119489536, 2]: 163608
@z_data_map[7671382016, 2]: 166256
@z_data_map[7486832640, 2]: 171432
@z_data_map[13597933568, 2]: 172944
@z_data_map[4873781248, 2]: 173960
@z_data_map[6643777536, 2]: 175752
@z_data_map[13379829760, 2]: 177424
@z_data_map[5892997120, 2]: 178152
@z_data_map[8292139008, 2]: 180616
@z_data_map[6656360448, 2]: 184424
@z_data_map[10439622656, 2]: 186280
@z_data_map[9797894144, 2]: 186568
@z_data_map[13312720896, 2]: 189072
@z_data_map[8271167488, 2]: 189176
@z_data_map[13715374080, 2]: 189368
@z_data_map[10615783424, 2]: 190600
@z_data_map[7163871232, 2]: 191000
@z_data_map[1644167168, 2]: 191368
@z_data_map[12184453120, 2]: 192760
@z_data_map[9693036544, 2]: 194616
@z_data_map[1153433600, 2]: 195768
@z_data_map[637534208, 2]: 196696
@z_data_map[5138022400, 2]: 197232
@z_data_map[1774190592, 2]: 197296
@z_data_map[5561647104, 2]: 202032
@z_data_map[12645826560, 2]: 203040
@z_data_map[12767461376, 2]: 204672
@z_data_map[13807648768, 2]: 207640
@z_data_map[3632267264, 2]: 208280
@z_data_map[11605639168, 2]: 209240
@z_data_map[8954839040, 2]: 211080
@z_data_map[12570329088, 2]: 212584
@z_data_map[13774094336, 2]: 212592
@z_data_map[4156555264, 2]: 213136
@z_data_map[11496587264, 2]: 213672
@z_data_map[9403629568, 2]: 218128
@z_data_map[12389974016, 2]: 228184
@z_data_map[6379536384, 2]: 229712
@z_data_map[11324620800, 2]: 230096
